year,serial,pernum,winning_model_p,winning_model_high_recall
2010,206230,1,0.18175235568352574,0
2019,1124048,1,0.11284638045162268,0
2012,1199014,1,0.19721750257277618,0
2009,749246,1,0.16514324865152336,0
2010,1343709,1,0.2354393552515416,0
2016,310882,1,0.12383352110411439,0
2012,581443,1,0.11811153981833197,0
2013,767382,2,0.12404881356298468,0
2019,132935,1,0.14317975304089164,0
2018,1054261,2,0.12695131780546237,0
2010,296832,1,0.32459868013846926,1
2019,786022,2,0.16509629076570687,0
2018,791059,2,0.24756101517408824,0
2019,35252,1,0.2847104902234155,1
2017,604679,2,0.23027833046182777,0
2010,210929,1,0.20911827068622502,0
2017,268100,1,0.22768897068386024,0
2010,134515,2,0.11046400651397625,0
2013,804154,1,0.2578188246660348,0
2011,1253485,1,0.27198991680919227,1
2018,1352096,1,0.25447830429537827,0
2013,760342,1,0.24621677572116313,0
2015,211806,2,0.19332831351227592,0
2014,291247,1,0.11788280090999109,0
2015,202597,2,0.18455141999180874,0
2017,834863,1,0.380973414427611,1
2016,139019,1,0.1674383285050347,0
2015,192067,1,0.20015342940816905,0
2014,756644,2,0.15248298011194686,0
2019,822293,1,0.23022509192895843,0
2009,524982,1,0.1838658249394434,0
2014,1199070,1,0.13965148778647551,0
2009,589243,1,0.24926444924912605,0
2013,1145721,1,0.44750288272665456,1
2019,1253636,1,0.2203455781915338,0
2019,323466,1,0.17248255990342737,0
2010,875773,1,0.2945694033330634,1
2018,144727,2,0.1931570169528227,0
2012,816845,2,0.18339634280981076,0
2013,1313748,1,0.17752323118008004,0
2014,767128,1,0.35545196418592584,1
2014,860183,1,0.19330151949461488,0
2011,1161187,1,0.1672620151311961,0
2018,844865,1,0.12838111217235082,0
2014,578501,1,0.20946405088636702,0
2016,422992,1,0.1117876098319226,0
2015,121860,1,0.16290712764178378,0
2017,1116466,2,0.15790938509230107,0
2015,876255,1,0.21654590136030807,0
2014,297829,1,0.13281535823182522,0
2013,210209,1,0.21158698088007236,0
2019,90572,1,0.118557643536746,0
2009,1259215,2,0.17172946140782694,0
2017,1176839,1,0.19397782751661782,0
2010,878794,2,0.24592215347447047,0
2010,832881,1,0.19726573037354941,0
2014,414447,1,0.18146804005312814,0
2010,278110,2,0.21046935693206414,0
2012,644068,1,0.22768897068386024,0
2017,321516,1,0.16183845686502268,0
2010,210547,1,0.1928413128849769,0
2015,171888,1,0.2515958541578266,0
2017,992019,1,0.174546381844072,0
2012,258272,2,0.1991609189816172,0
2018,133462,2,0.19617768214488057,0
2014,813860,2,0.18808226259239744,0
2013,302371,2,0.2249621068424814,0
2014,150182,1,0.2124900637259699,0
2018,119800,6,0.31410918779340796,1
2015,425737,2,0.251665952492453,0
2019,142916,1,0.17479641147148278,0
2009,843635,1,0.21627893029209652,0
2012,1167171,1,0.21328630702910145,0
2018,131598,1,0.39993047109374635,1
2019,1189318,1,0.1938541773582397,0
2015,148273,1,0.30522224401415,1
2018,645155,1,0.22087804304123973,0
2011,85862,1,0.1648080820580394,0
2012,1040796,1,0.19813127497356664,0
2018,207899,1,0.1155963736607861,0
2011,780404,2,0.12838111217235082,0
2009,911610,1,0.23950330276806445,0
2015,203090,2,0.13219990028946765,0
2013,77105,2,0.2570118850388985,0
2018,345641,1,0.5200839962647164,1
2016,343747,2,0.17754510579873897,0
2014,1207146,1,0.10794074427708283,0
2014,269639,1,0.12421380663018795,0
2015,766608,2,0.16240627084684087,0
2017,1034364,1,0.2046428635980826,0
2013,562808,2,0.25095306418947516,0
2015,1167095,1,0.45002996274551593,1
2014,294148,1,0.10800626507703213,0
2016,192609,1,0.15718159956972982,0
2016,164870,1,0.2233865681010583,0
2018,341197,1,0.2474641576619832,0
2018,658989,1,0.19407531730817892,0
2017,783064,1,0.1477891120160239,0
2016,864963,1,0.26264913623400327,1
2010,370249,1,0.1754674579621445,0
2016,118185,1,0.16538646175416138,0
2019,103137,1,0.1354311230415945,0
2017,169778,1,0.15898181151027801,0
2017,774851,2,0.11369573468119047,0
2014,187283,1,0.17294524647073256,0
2011,268915,1,0.20980514573011008,0
2019,820704,2,0.19885969734507597,0
2017,868506,1,0.18973378568778057,0
2012,221463,1,0.2963033007926532,1
2017,880384,1,0.18612246598346036,0
2012,722283,1,0.12930805646759733,0
2017,49071,1,0.1588970573005021,0
2010,91493,1,0.19979035789074104,0
2018,592651,1,0.20200647127898935,0
2017,776862,1,0.155244412625494,0
2016,334109,1,0.11099898739409833,0
2009,182787,1,0.17188494496875423,0
2018,810379,1,0.20939113732110431,0
2015,48268,1,0.2648176375838896,1
2014,323837,2,0.19554067884092968,0
2011,285980,1,0.18628930338320834,0
2019,204291,2,0.12544362203823475,0
2017,880262,1,0.547910430362105,1
2019,787493,2,0.11572252110408428,0
2011,1248361,2,0.11572252110408428,0
2016,338407,2,0.1611306397474421,0
2018,249848,1,0.19276947890826798,0
2015,216877,1,0.16683732960358627,0
2011,328697,1,0.15554552448042644,0
2010,73323,1,0.16071109714130574,0
2014,88195,1,0.218175578175272,0
2015,1262007,2,0.13860011706401285,0
2014,596946,1,0.15211044344042432,0
2014,359706,1,0.11189638324893425,0
2017,173543,1,0.18912494023742144,0
2017,134482,1,0.2121495305059922,0
2016,811855,2,0.2162533675872594,0
2014,74882,2,0.16533523668686123,0
2017,85989,1,0.19557125653524746,0
2009,591740,1,0.13438592569347943,0
2011,1362223,1,0.2755428188503936,1
2017,288398,1,0.21569869519964652,0
2014,150016,7,0.3968666135356987,1
2019,661634,1,0.16485862960823341,0
2015,122677,2,0.3552599570779077,1
2016,648780,1,0.13767838493521314,0
2010,1338023,2,0.21264765656985454,0
2010,367821,1,0.23394911396796175,0
2019,941687,1,0.28769362269941384,1
2018,886776,1,0.22054138903986134,0
2017,95103,2,0.11723259912153733,0
2013,86892,2,0.13751243469700006,0
